3GPP	Third Generation Partnership Project
LAN	Local Area Network
LBC	Labor Bid Code
LDC	Limited Dissemination Control
LDPC	Low-Density Parity-Check
LDV	Last Ditch Voice
LEF	Link Encryptor Family
LEO	Low Earth Orbit
LIDAR	Light Detection and Ranging
LLNR	Low Latency Networking Radio (Singapore)
LMAMS	Lethal Miniature Aerial Munitions System
LOE	Level of Effort
LORA	Level of Repair Analysis
LOS	Line of Site
LOS CaT	Line Of Sight Capability Team (NATO)
LOT	Life Of Type
LPC	Linear Predictive Coding
LPD	Low Probability of Detection
LPDP	Local Policy Decision Point
LPE	Low Probability of Exploitation
LPI	Low Probability of Interception
LPO	Lead Program Office
LQA	Link Quality Analysis
LRIP	Low Rate Initial Production
LRU	Line Replaceable Unit
LSA	Logistics Support Analysis
LSB	Lower Sideband
LSI	Lead System Integrator
LSP	Lead Service Provider
LSW	LEO Satellite Waveform
LTD	Laser Target Designator
LTE	Long Term Evolution
LTI	Lower Tactical Internet
LUT	Limited User Test
LYOU	Last Year of Use
M-TNW	Mid-tier TDMA Networking Waveform
MAC	Mandatory Access Control; Mission Assurance Category; Media Access Control; Message Authentication Code; Maintenance Allocation Chart [Taiwan FICS]
MACA	Multiple Access with Collision Avoidance
MACCS	Marine Air Command and Control System
MADL	Multifunction Advanced Data Link
MAGTF	Marine Air-Ground Task Force
MALSR	Multi-level Abstracted Link State Routing
MANET	Mobile Ad-hoc Network
MANPRINT	Manpower and Personnel Integration
MBMP	Multiband Manpack (radio)
Mbps	Megabits Per Second
MBSE	Model Based Systems Engineering
MCC	Mission-Critical Communications
MCE	Mounted Computing Environment
MCMP	Multi-Channel Manpack
MCPTT	Mission Critical Push to Talk
MCS	Mobile Communications Sub-System
MCTL	Militarily Critical Technologies List
MCTM	MUOS Compressed Tunnel Mode (compresses voice, serial data, IP compression)
MCU	Multipoint Conference Unit [Taiwan FICS]
MCX	Micro Coaxial; Mission-Critical Services
MDA	Milestone Decision Authority; Missile Defense Agency
MEAT	Most Economical Acceptable Tender; Most Economically Advantageous Tender
MELP	Mixed-Excitation Linear Prediction
MELPe	Mixed-Excitation Linear Prediction, extended
MEP	Minimum Error Propagation
MFOCA	Mixed Fiber Optic Cable Assembly
MFoCS	Mounted Family of Computer Systems
MFP	Materiel Fielding Plan
MGC	Management Client
MGRS	Military Grid Reference System
MGUE	Modernized GPS User Equipment
MHAS	Minimize and Harden Attack Surfaces
MHz	Megahertz
MIB	Management Information Base
MICT	Mobile Information and Communication Technology [Australia]
MIDS LVT	Multifunctional Information Distribution System Low Volume Terminal
MIG	MCSC Iridium Gateway
MIL-STD	Military Standard
MILSTAR	Military Strategic, Tactical And Relay
MIMO	Multiple Input & Multiple Output
MIP	Multilateral Interoperability Programme
MITD	Milestone Integration Test and Demonstrations
MJO	Major Joint Operation
MKA	MACsec Key Agreement Protocol
MLA	Manufacturing License Agreement
MLPP	Multilevel Precedence and Preemption
MMC	Mission Management Center
MMC-T	Mounted Mission Command - Transport
MND	Ministry of National Defense
MNVR	Mid-Tier Networking Vehicular Radio
MOB	Main Operating Base
MOOTW	Military Operations Other Than War
MOPP	Mission Oriented Protective Posture
MOS	Mean Opinion Score; Military Occupational Specialty
MOSA	Modular Open Systems Approach
MOT&E	Multi-service Operational Test & Evaluation
MP	Manpack
MPE	Mission Partner Environment
MPLS	Multiprotocol Label Switching
MRP	Material Requirements Planning
MS&A	Modeling, Simulation, & Analysis
MSA	Mobile Security Attachment
MSL	Mean Sea Level
MSLS	Multiple Single Levels of Security
MSR	Monthly Status Report
MTA	Maintenance Task Analysis
MTBCF	Mean Time Between Critical Failure
MTBEFF	Mean Time Between Essential Function Failure
MTBF	Mean Time Between Failures
MTBOMF	Mean Time Between Operational Mission Failure
MTI	Moving Target Indication
MTL	Maintenance Task List
MTS	
MUM-T	Manned-Unmanned Teaming
MUOS	Mobile User Objective System
NAICS	North American Industry Classification System
NAT	Network Address Translation
NAT-T	Network Address Translation-Traversal
NATO	North Atlantic Treaty Organization
NAVAIR	Naval Air Systems Command
NAVSSI	Navigation Sensor System Interface
NB	Narrowband
NCCT	Network Centric Collaborative Targeting
NCDSMO	National Cross Domain Strategy & Management Office
NCIA	NATO Communications and Information Agency
NCIDs	Network Centric Implementation Documents (protocols)
NCOIC	Non-Commissioned Officer In Charge [Taiwan FICS]
NCSC	National Cyber Security Center (UK); NSA/CSS Commercial Solutions Center
NCSIST	N
NCTAMS	Navy Computer & Telecommunications Area ...
NDI	Non-Developmental Item
NEA	Network Enabled Army
NECC	Net Enabled Command Capability
NEH	NOC (Network Operations Center) Encryption Hardware
NET	New Equipment Training
NetCOP	Network Common Operating Picture
NetOps	Network Operations
NETSEC	Network Security
NeXGTR-NM	Next Generation Tactical Radios Network Manager
NFDR	NetOps Federated Data Repository
NFFI	NATO Friendly Force Information
NFS	Network File System
NGCA	Next Generation Cryptographic Architecture
NGFW	Next Generation Firewall [Taiwan FICS]
NGLD-M	Next Generation Load Device - Medium
NGLD-S	Next Generation Load Device - Small
NGVA	NATO Generic Vehicle Architecture
NGW2	Next Generation Wideband networking Waveform (?)
NHA	next higher assembly
NIAP	National Information Assurance Partnership
NIDS	Network Intrusion Detection System
NII	Networking and Information Infrastructure
NILE	NATO Improved Link Eleven
NINE	Networking and Information Infrastructure (NII) Internet Protocol Network Encryption (informally referred to as NATO INE)
NIPRNET	Non-classified Internet Protocol Router Network
NIS	Network Interface System
NISPOM	National Industrial Security Program Operating Manual
NIST	National Institute of Standards & Technology
nit	not an acronym, a unit of visible-light intensity
NIWC	Naval Information Warfare Center (formerly known as SPAWAR)
NKMS	Net Key Management Segment
NMS	Network Management System
NOMS	NetOps Management System
NOSC	Network Operations and Security Center
NPMS	Network Planning and Management System (Australia)
NPO	New Product Operations
NRE	Non-Recurring Engineering
NRMM	NATO Reference Mobility Model
NRO	National Reconnaissance Office
NSA	National Security Agency
NSC	National Spectrum Consortium
NSISC	National Space INFOSEC Steering Council
NSL	Near Strike Lightning
NSN	National Stock Number
NSOF	Network Sensors for the Objective Force
NSWC	Naval Surface Warfare Center
NTDC	Non-traditional Defense Contractor
NTIA	National Telecommunication and Information Administration
NTP	Network Timing Protocol
NUCC	NATO UHF Control Capability
NVD	National Vulnerabilities Database
NVG	NATO Vector Graphics
NVIS	Near-Vertical Incidence Skywave
NVMe	Non-Volatile Memory Express
NZDF	New Zealand Defence Force
OCONUS	Outside Continental United States
OCSP	Online Certificate Status Protocol
ODU	Outdoor Unit
OFDM	Orthogonal Frequency Division Multiplexing
OIC	Officer In Charge [Taiwan FICS]
OID	Object Identifier
OJT	on the job training
OLED	Organic Light Emitting Diode
OLSR	Optimized Link State Routing (protocol)
OMAP	Open Multimedia Application Processor
OMFV	Optionally Manned Fighting Vehicle
OMG	Object Management Group
OMS	Open Mission Systems
ONOS	Open Network Operating System
OODA	Observe, Orient, Decide, Act
ORB	Object Request Broker
ORBAT	Order of Battle
ORD	Operational Requirements Document
OSPF	Open Shortest Path First
OT	Operational Test
OT&E	Operational Test & Evaluation
OTA	Other Transaction Agreement (Authority); Operational Test Authorization
OTAC	Over the Air Cloning
OTAD	Over the Air Distribution
OTAR	Over the Air Rekey
OTAT	Over the Air Transfer
OTAZ	Over the Air Zeroize
OTB	Over Target Baseline
OTG	On the Go
OTH	Over-the-Horizon
OTM	On the Move
OTNK	Over the Network Keying
OTP	On the Pause
OTPP	Other Transactions for Prototype Projects
OTS	Over Target Schedule
OUA	Operational User Assessment
OVS	Open Virtual Switch
P/TIM	Programmatic and Technical Interchange Meeting
P2MP	Point to Multipoint
P3	Programmable PACing & Privileging
PA	Power Amplifier
PAALE	Propagation Aware Automatic Link Establishment
PAAWNS	Protected Anti-jam Anti-scintillation Wideband Network System
PAC	Post Award Conference
PACE	Primary Alternate Contingency Emergency
PAI	
PAL	Product Availability List
PASS	Publish And Subscribe System
PAT	Production Acceptance Test
PBX	Private Branch Exchange
PCA	Physical Configuration Audit
PCAP	Physical Configuration Audit Plan
PCAR	Physical Configuration Audit Report
PCAS	Persistent Close Air Support
PCIDM	Personal Computer Improved Data Modem
PCM	Pulse Code Modulation
PCN	Protected Core Network(ing)
PCO	Procuring Contracting Officer
PDD	Product Description Document (Harris); Program Description Document (external)
PDE	Product Delivery Enclave
PDPA	Proprietary Data Protection Agreement
PDR	Preliminary Design Review
PDU	Protocol Data Unit
PED	Programmable Encryption Device
PEFA	Policy Enforcement Failure Analysis
PEITSS	Platform Engineering & Integration for Tactical & Strategic Systems
PEP	Peak Envelope Power; Policy Enforcement Point
PHST	Packaging, Handling, Storage and Transportation
PICD	Processor I/o Configuration Device
PINP	Prototype of Integrated NetOps Planners
PIT	Platform Information Technology
PLGR	Precision Lightweight GPS Receiver
PLI	Position Location Information
PLISN	Provisioning Line (List) Item Sequence Number
PLL	Prescribed Load List
PLSW	Protected Low Earth Orbit SATCOM Waveform
PM MC	Program Management Mission Command
PMB	Performance Measurement Baseline
PMP	point-to-multipoint; Program Management Plan
PMPB	Parts, Material, Processing Board
PMR	Program Management Review
PMS	Project Master Schedule
PMW	Program Manager, Warfare
PN	part number
PNT	Positioning, Navigation and Timing
POA&M	Plan of Action and Milestone
POC	Proof of Concept
PoR	Program of Record
POSIX	Portable Operating System Interface
PPIP	Program Protection Implementation Plan
PPIRS	Past Performance Information Retrieval System
PPP	Program Protection Plan; Point-to-Point Protocol
PPPoE	Point to Point Protocol over Ethernet
PPS	Precise Positioning Service
PQQ	Pre-Qualification Questionnaire
PQT	Product Qualification Test
PRAT	Production Reliability Acceptance Test
PRC	People's Republic of China
PREDM	Production Representative Engineering Development Models
PRM	Project Review Meeting
PROCE	Programme for Replacement of Obsolete Cryptographic Equipment
PRR	Production Readiness Review
PRS	Performance Requirements Specification
PSIFE	Protect System's Information from Exploitation
PSPC	Public Safety and Professional Communications
PSR	Program Status Review
PSTN	Public Switched Telephone Network
PT	Plain Text
PTP	point-to-point
PTT	Push-to-Talk
PTTI	Precise Time & Time Interval
PTW	Protected Tactical Waveform; Price To Win
PVT	Position, Velocity and Time
PWS	Performance Work Statement
QAPP	Quality Assurance Program Plan
QASP	Quality Assurance Surveillance Plan
QDR	Quadrennial Defense Review
QMS	Quality Management System
QoS	Quality of Service
QT&E	Qualification Test and Evaluation
R.O.C.	Republic of China
R2	Remove and Replace
RAA	Remote Advise and Assist
RAdAC	Risk Adaptive Access Control
RADIUS	Remote Authentication Dial-In User Service
RAF	Radio Access Facility
RAM	Reliability, Availability and Maintainability
RAMT	Reliability, Availability, Maintainability and Testability
RAP	Risk Assessment Panel
RARE™	Rapidly Adaptable Ruggedized Enclosure
RASOR™	Rapidly Adaptable Standards-aligned Open Radio
RBCI	Radio Based Combat Identification (SINCGARS)
RBPS	Rapid Beach Profiling System
RBSA	Radio Based Situational Awareness (SINCGARS)
RC-IED	Remote/Radio Controlled Improvised Explosive Device
RCA	Root Cause Analysis
RCDU	Remote Control Display Unit
RCVS	Robust Certificate Verification Service
RDEC	Research, Development & Engineering Center
REES	Reliability Environmental Engineering Services
RES	Receiver Exciter Synthesizer
RESCUE	REprogrammable Single Chip Universal Encryptor
RF	Radio Frequency
RFA	Request for Authorization
RFP	Request for Proposal
RFT	Request for Tenders
RGT	Reliability Growth Test
RHIB	Rigid Hull Inflatable Boat
RIF	Rapid Innovation Fund
RIP	Routing Information Protocol, RMF Implementation Plan
RIS	Requirements Issue Sheet
RISC	Reduced Instruction Set Computer
RMA	Return Material Authorization; Reliability/Maintainability/Availability
RMF	Risk Management Framework
RMII	Reduced Media Independent Interface
RNDIS	Remote Network Driver Interface Specification
RO	Repair Order [Taiwan FICS]
RoCCE	Robust Communications for Challenging Environments
ROI	Registration of Interest (NZ)
RoIP	Radio over Internet Protocol
ROM	Rough Order of Magnitude
ROVER	Remotely Operated Video Enhanced Receiver
RPA	Remotely Piloted Aircraft
RSA	Rivest, Shamir & Adleman
RSC	Recover System Capabilities
RSCD	Reduce System's Cyber Detectability
RSEG	Requirements Security Engineering Group
RSVP	Resource Reservation Protocol
RT	Receiver/Transmitter
RTCE	Real Time Channel Evaluation
RTOC	Regional Tactical Operations Center [Taiwan FICS]
RTOS	Real Time Operating System
RTP	Real-time Transport Protocol
RU	Rack Unit
RWS	Rigid-Walled Shelter
RWW	Resilient Wideband Waveform
RX	Receive
S&TCD	Space & Terrestrial Communications Directorate
S-TNW	Soldier TDMA Networking Waveform; Soldier (-?) Tactical Networking Waveform
S/MIME	Secure / Multipurpose Internet Mail Extensions
SA	Situational Awareness
SA-WCDMA	Spectrally Adaptive Wideband Code Division Multiple Access
SAAPD	Software Analysis and Assessment Process Description
SAASM	Selective Availability Anti-Spoofing Module
SABER	Situational Awareness BEacon with Reply
SADD	Security Aspects of Design Document
SADL	Situational Awareness Data Link
SAIL	Surface/Aviation Interoperability Lab
SAL	Strong Authentication Logon
SALISR	Stealth Anti-jam LPD ISR
SALTAN	Stealth Anti-jam LPD TActical Network
SAM	System for Award Management
SAMD	Security Assistance Management Directorate
SAMI	
SAML	Security Assertion Markup Language
SAN	Storage Area Network
SAR	Software Anomaly Report; Security Assurance Requirement; Safety Assessment Report; Software Acceptance Review; Synthetic Aperture Radar
SASS	Standard Army Supply System
SAT	Site Acceptance Test
SATA	Serial Advanced Technology Attachment
SATCOM	Satellite Communications
SAToV	Situation Awareness Tagged onto Voice
SATURN	Second-generation Anti-jam Tactical UHF Radio for NATO
SAV	System Assurance Validation
SAWMR	Stand Alone Wideband Mobile Router
SBCT	Stryker Brigade Combat Team
SBD	Short Burst Data
SBIR	Small Business Innovative Research
SBTW/SA	Signals Based Threat Warning / Situational Awareness
SBU	Sensitive But Unclassified
SCA	Software Communications Architecture
SCADA	Supervisory Control and Data Acquisition
SCAMPI	Standard CMMI Appraisal Method for Process Improvement
SCAR	Strike Coordination & Reconnaissance
SCCM	System Center Configuration Manager
SCI	Sensitive Compartmented Information
SCIF	Sensitive Compartmented Information Facility
SCIP	Secure Communications Interoperability Protocol
SCM	Software Configuration Management
SCRM	Supply Chain Risk Management
SCTP	Stream Control Transmission Protocol
SCVP	Simple Certificate Validation Protocol
SDB	Small Diameter Bomb
SDK	Software Development Kit
SDN	SOF Deployable Node
SDP	Software Development Plan
SDPDD	Software Development Process Description Document
SDR	Software Defined Radio
SDV	Software Development Verification
SE	Support Equipment [Taiwan FICS]
SECAN	Security and Evaluation Agency (NATO?)
SECREL	Secret Releasable
SED	Security Evaluation Document
SEETRA	Secure End-to-End TETRA
SEMP	Systems Engineering Management Plan
SEP	Signal Entrance (Entry) Panel
SETA	Systems Engineering and Technical Assistance
SFF	Small Form Factor
SFR	Security Functional Requirement
SHA-1 HMAC	Keyed-Hash Message Authentication Code
SHAPU	Smart Hybrid Auxiliary Power Unit
SHDD	Software/Hardware Design Document (believe changing HW to HDL)
SHIELD	Secure High-assurance In-line Encryption Load(?) Device
SHRS	Software/Hardware Requirements Specification (believe changing HW to HDL)
SIE	SOF Information Environment
SIEM	Security Information and Event Management
SIGINT	Signals Intelligence
SIIG	Security Interoperability Implementation Group
SIIPT	System Integration Integrated Product Team
SIK	Service Integration Kit
SIL	System Integration Laboratory
SIM	Subscriber Identity Module; Subscriber Identification Module
SINAD	Signal-to-Noise and Distortion
SINCGARS	Single Channel Ground & Airborne Radio System
SIP	Session Initiation Protocol
SIPRNet	Secret Internet Protocol Router Network
SIR	Soldier ISR Receiver
SIS	Subnet Interface Sublayer
SISO	Single Input Single Output
SIT	
SJO	Small Joint Operation
SKA	Soft Keypad Application
SKD	Semi Knock Down
SKEME	Versatile Secure Key Exchange Mechanism
SKPP	Separation Kernel Protection Profile
SLA	Service Level Agreement
SLICE	Soldier Level Integrated Communications Environment
SLOC	Source Lines of Code
SLRL	Software License Requirements List
SLTB	
SLVR	~ Submarine Low freq / Very low freq Radio (AN/WRR-12, replaces Verdin)
SMA	Subminiature Version A
SMB/CIFS	Server Message Block/Common Internet File System
SMT	Surface Mount Technology
SMTP	Simple Mail Transfer Protocol
SNMP	Simple Network Management Protocol
SNR	Signal-to-Noise Ratio
SO	Security Operations
SOA	Service Oriented Architecture
SOAP	Simple Object Access Protocol
SOAR	Special Operations Aviation (Airborne?) Regiment
SOC	State of Charge
SOCOM	Special Operations Command
SOCSS	Special Operations [Australia] Command Support System
SOD	Software Object Document
SOFIC	Special Operations Forces Industry Conference
SOM	Start of Message
SON	Self Organizing Network
SOSIC	System of Systems Consortiums
SOTM	SATCOM on the Move
SOVT	System Operational Verification Test
SP	Security Processor (also Signal Processor)
SPA	Security Production Assurance
SPCI	Software Program Configuration Item
SPE	Senior Procurement Executive
SPLER	Software and Programmable Logic Evaluation Report
SPOC	Software Programmable OMS Compliant
SPS	Software Product Specification
SQL	Structured Query Language
SQT	Software Qualification Testing
SRD	System Requirements Document
SRP	Software Reconfigurable Payload
SRR	System Requirements Review
SRTP	Secure Real-time Transport Protocol
SRU	Shop Replaceable Unit
SRW	Soldier Radio Waveform
SSAA	System Security Authorization Agreement
SSC	SPAWAR Systems Center
SSD	Safe Separation Distance
SSDD	System/Subsystem Design Description
SSDL	Small Secure Data Link
SSHA	System Safety Hazard Analysis
SSL	Secure Sockets Layer
SSMS	SQL Server Management Studio
SSS	System/Subsystem Specification; Schedule of Supplies and Services; Security Sub-System (Taiwan FICS)
ST	Security Target
STaC-IS (also STaCIS)	Secure Tactical Communications Interoperability Specification
STANAG	Standardization Agreement
STAP	System Testing and Acceptance Plan
STAR	Security Threat Assessment Report
STC	SitaWare Tactical Communications; Satellite TDMA Capability (WF); SOF (Special Operations Forces) Tactical Communications; Supplemental Type Certificate
STCD	Space and Terrestrial Communications Directorate
STIG	Security Technical Implementation Guide
STORM	Small Tactical Optical Rifle Mounted
STP	Spanning Tree Protocol
STR	Software Test Report
STT	Small Tactical Terminal
SUAS	Small Unit …
SUT	System Under Test
SUV	Sport Utility Vehicle
SV	Security Verification
SVD	Software Version Description
SVR	System Verification Review
SW	Software
SWAMP	Super Wideband Advanced Modem Platform
SWaP	Size, Weight and Power
SWaP+C	Size, Weight and Power plus Cooling
SWIPES	Soldier Worn Integrated Power Equipment System
SwISS	Software In-Service Support
TAA	Technical Assistance Agreement
TAC	Technical Assistance Center; Terminal Area Communication
TACP	Tactical Air Control Party
TACP-M	Tactical Air Control Party Modernization
TAD	Tactical Air Direction (network)
TADIL	Tactical Digital Info Link
TADIXS	Tactical Data Information eXchange Subsystem
TAG	Transport Aggregation Gateway; Terminal Area Guidance
TAK	Tactical Assault Kit
TALON	
TARP	Threat Awareness and Reporting Program
TCAS	Trade Compliance Automated System
TCNO	Tactical Cyber & Network Operations
TCO	Total Cost of Ownership
TCP	Transmission Control Protocol
TCPED	Tasking, Collection, Process, Exploitation, and Dissemination
TCSEC	Trusted Computer Security Evaluation Criteria
TD	Technical Data
TDD	Time Division Duplexing
TDM	Transparent Data Mode; Time Division Multiplexing (Multiplexed)
TDMA	Time Division Multiple Access
TDN	Tactical Data Network
TDOA	Time Differential of Arrival
TDP	Technical Data Package; Tactical Data Processor
TDY	Temporary Duty
TEM	Technical Exchange Meeting
TEMP	Test and Evaluation Master Plan
TEMPEST	not an acronym but some say Transient Electromagnetic Pulse Emanation Standards
TETS	Third Echelon Test Set
TFS	Traffic Flow Security
TGW2	Talk Group Wideband Waveform
TIBS	Tactical Information Broadcast Service
TIC	Troops in Contact
TIM	Technical Interchange Meeting
TIMS	Tactical Internet Management System
TIP	Technology Insertion Program
TIPT	Training Integrated Product Team
TLS	Transport Layer Security
TM	Time Master (for TNW); Technical Manual
TMDE	Test, Measurement and Diagnostic Equipment
TNC	Threaded Neill-Concelman
TNOM	Tactical Network Operations Management
TNP	Tactical NetOps Platform
TNW	TDMA Networking Waveform
TOA	Take Off Angle
TOC	Tactical Operations Center
TOD	Time of Day
TOE	Target of Evaluation
ToT	Transfer of Technology
TPF	Total Package Fielding
TPM	Technical Performance Measure
TPP	
TR	Trouble Report
TRB	Technical Review Board
TRIPLE	TRANSEC Remote-keyable INFOSEC Platform, Low-SWAP Edition
TRL	Technology Readiness Level
TRR	Test Readiness Review
TRRB	Trouble Report Review Board
TS	Transmission Sub-System
TSM	Tactical Scalable MANET
TSP	Training Support Package
TSRD	Technical Security Requirements Document
TSS	Targeting and Sensor Systems
TSVCIS	Tactical Secure Voice Cryptographic Interoperability Specification
TTAM	Thornton TRANSEC Algorithm Modernization
TTG	TACP Transportable Gateway; Tactical Transportable Gateway
TTNT	Tactical Targeting Networking Technology
TTPs	Tactics, Techniques and Procedures
TUI	Tactical Unclassified Information
TVAM	Telescoping Vehicle Antenna Mast
TVS	Tactical Variant Switch
TWC	Tactical Wireless Connectivity
TWELP	Tri-Wave Excited Linear Prediction
TX	Transmit
UAF	Unified Architecture Framework
UAS	Unmanned Aircraft System
UAV	Unmanned Aerial Vehicle
UBS	UHF Base Station
UCC	Universal Code Council
UCDMO	Unified Cross Domain Management Office
UDP	User Datagram Protocol
UDT	User Data Terminal (?)
UFO	Ultra High Frequency Follow-On
UHF	Ultra High Frequency
UI	User Interface
UIC	Unified INFOSEC Criteria
UID	Unique Identifier
UIDM	Universal Improved Data Modem
UK DEC	MOD Dept of Equipment Capability
UK DPA	Defense Procurement Agency
UNO	Unified Network Operations
UNSA	Universal Net Situational Awareness
UOR	Urgent Operational Requirement
UPP	User Partnership Program
UPS	Uninterruptible Power System
UREM	
URN	Unit Reference Number
USAF	United States Air Force
USASOC	United States Army Special Operations Command
USB	Universal Serial Bus; Upper Sideband
USG	United States Government
USKAD	
USMC	United States Marine Corps
USSF	US Space Force
USSOCOM	United States Special Operations Command
UTI	Upper Tactical Internet
UTO	Unit Task Organization
UTR	Unit Task Reorganizations
V-TNW	Video-TDMA Networking Waveform
VAA	Vehicular Adapter and Amplifier
VACM	VINSON ANDVT Cryptologic Modernization
VATEP	Value Adjusted Total Evaluated Price
VAU	Vehicular Adapter Unit
VAUTIS	Visible, Accessible, Understandable, Trusted, Interoperable, and Secure
VCC	Voltage at the Collector
VCP/VDK	Voice Communications Package / Delta Kit
VCRM	Verification Cross-Reference Matrix
VDB	VICTORY Data Bus
VDV	Voice/Data/Video
VHDL	VHSIC Hardware Description Language
VHSIC	Very High Speed Integrated Circuit
VICTORY	Vehicular Integration for C4ISR/EW Interoperability
VIK	Vehicle Integration Kit
VLAN	Virtual Local Area Network
VMF	Variable Message Format
VMI	Visual, Mechanical Inspection [Taiwan FICS]
VNW	Vortex Native Waveform
VOACAP	Voice of America Coverage Analysis Program
VOE	Versatile Operating Environment
VoIP	Voice over Internet Protocol
VORTEX	Video Oriented Transceiver for Exchange of Information
VPN	Virtual Private Network
VPTZ	Virtual Pan Tilt Zoom
VSAT	Very Small Aperture Terminal
VSWR	Voltage Standing Wave Ratio
VTC	Video Teleconferencing
VULOS	VHF/UHF Line of Site
WALE	Wideband Automatic Link Establishment
WAMI	Wide Area Motion Imagery
WAR	Waveform Aware Routing
WAVE	Wide Area Virtualization Engine
WBS	Work Breakdown Structure
WCDMA	Wideband Code Division Multiple Access
WDS	Waveform Design Specification
WGS	Wideband Global SATCOM
WID	Waveform Identifier
WLAN	Wireless Local Area Network
WMT	Wireless Message Terminal
WNW	Wideband Networking Waveform
WO	Work Order [Taiwan FICS]
WREN	Warrior Robust Enhanced Networking
WS-I	Web Services Interoperability
WSSR	Waveform Software Security Report
XML	Extensible Markup Language
XMPP	eXtensible Messaging and Presence Protocol
